iter	Passed	Remaining
651	1308	698
652	1310	696
653	1312	694
654	1314	692
655	1316	690
656	1318	688
657	1320	686
658	1322	684
659	1324	682
660	1326	680
661	1328	678
662	1330	676
663	1332	674
664	1334	672
665	1336	670
666	1338	668
667	1340	666
668	1342	664
669	1344	662
670	1346	660
671	1348	658
672	1350	656
673	1352	654
674	1354	651
675	1356	650
676	1358	648
677	1361	646
678	1363	644
679	1365	642
680	1367	640
681	1369	638
682	1372	636
683	1374	634
684	1376	632
685	1378	630
686	1380	628
687	1381	626
688	1384	624
689	1386	622
690	1388	620
691	1390	618
692	1392	616
693	1394	614
694	1396	612
695	1398	610
696	1400	608
697	1402	606
698	1404	604
699	1406	602
700	1408	600
701	1410	598
702	1412	596
703	1414	594
704	1417	592
705	1419	590
706	1421	588
707	1423	586
708	1425	584
709	1427	582
710	1429	580
711	1431	578
712	1433	576
713	1435	574
714	1437	572
715	1439	570
716	1441	569
717	1443	566
718	1445	564
719	1447	562
720	1449	560
721	1451	558
722	1453	556
723	1455	554
724	1457	552
725	1459	550
726	1461	548
727	1463	546
728	1465	544
729	1467	542
730	1469	540
731	1471	538
732	1473	536
733	1475	534
734	1477	532
735	1479	530
736	1481	528
737	1483	526
738	1485	524
739	1487	522
740	1489	520
741	1491	518
742	1493	516
743	1495	514
744	1497	512
745	1499	510
746	1501	508
747	1503	506
748	1505	504
749	1506	502
750	1509	500
751	1511	498
752	1514	496
753	1516	494
754	1518	492
755	1520	490
756	1522	488
757	1524	486
758	1526	484
759	1528	482
760	1530	480
761	1532	478
762	1533	476
763	1535	474
764	1538	472
765	1540	470
766	1542	468
767	1544	466
768	1546	464
769	1548	462
770	1550	460
771	1552	458
772	1554	456
773	1556	454
774	1558	452
775	1560	450
776	1562	448
777	1564	446
778	1566	444
779	1568	442
780	1570	440
781	1572	438
782	1574	436
783	1576	434
784	1578	432
785	1580	430
786	1582	428
787	1584	426
788	1586	424
789	1588	422
790	1590	420
791	1592	418
792	1594	416
793	1597	414
794	1598	412
795	1600	410
796	1602	408
797	1604	406
798	1606	404
799	1608	402
800	1610	400
801	1612	398
802	1614	396
803	1616	394
804	1618	392
805	1620	390
806	1622	388
807	1624	386
808	1626	384
809	1628	382
810	1630	380
811	1632	377
812	1634	376
813	1636	374
814	1638	372
815	1640	369
816	1642	367
817	1644	365
818	1646	363
819	1648	361
820	1650	359
821	1652	357
822	1655	355
823	1657	353
824	1659	351
825	1661	349
826	1663	347
827	1665	345
828	1667	343
829	1669	341
830	1671	339
831	1673	337
832	1675	335
833	1677	333
834	1679	331
835	1681	329
836	1683	327
837	1685	325
838	1687	323
839	1689	321
840	1691	319
841	1693	317
842	1695	315
843	1697	313
844	1698	311
845	1701	309
846	1702	307
847	1704	305
848	1706	303
849	1708	301
850	1710	299
851	1712	297
852	1714	295
853	1716	293
854	1718	291
855	1720	289
856	1722	287
857	1724	285
858	1726	283
859	1728	281
860	1730	279
861	1732	277
862	1734	275
863	1736	273
864	1738	271
865	1740	269
866	1742	267
867	1744	265
868	1746	263
869	1749	261
870	1751	259
871	1753	257
872	1754	255
873	1756	253
874	1759	251
875	1760	249
876	1762	247
877	1764	245
878	1766	243
879	1769	241
880	1771	239
881	1772	237
882	1774	235
883	1776	233
884	1778	231
885	1780	229
886	1782	227
887	1784	225
888	1786	223
889	1788	221
890	1790	219
891	1792	217
892	1794	215
893	1796	213
894	1798	210
895	1800	208
896	1802	206
897	1804	204
898	1806	202
899	1808	200
900	1810	198
901	1812	196
902	1814	194
903	1816	192
904	1818	190
905	1820	188
906	1822	186
907	1824	184
908	1826	182
909	1828	180
910	1830	178
911	1832	176
912	1834	174
913	1836	172
914	1838	170
915	1840	168
916	1842	166
917	1844	164
918	1846	162
919	1847	160
920	1849	158
921	1851	156
922	1854	154
923	1855	152
924	1857	150
925	1860	148
926	1862	146
927	1864	144
928	1866	142
929	1868	140
930	1870	138
931	1872	136
932	1874	134
933	1876	132
934	1878	130
935	1880	128
936	1882	126
937	1884	124
938	1886	122
939	1888	120
940	1890	118
941	1892	116
942	1894	114
943	1896	112
944	1898	110
945	1900	108
946	1902	106
947	1904	104
948	1906	102
949	1908	100
950	1910	98
951	1912	96
952	1914	94
953	1916	92
954	1918	90
955	1921	88
956	1923	86
957	1925	84
958	1926	82
959	1928	80
960	1930	78
961	1933	76
962	1935	74
963	1937	72
964	1939	70
965	1941	68
966	1943	66
967	1945	64
968	1947	62
969	1949	60
970	1951	58
971	1953	56
972	1955	54
973	1957	52
974	1959	50
975	1961	48
976	1963	46
977	1965	44
978	1967	42
979	1969	40
980	1971	38
981	1973	36
982	1975	34
983	1977	32
984	1979	30
985	1981	28
986	1983	26
987	1985	24
988	1986	22
989	1989	20
990	1990	18
991	1992	16
992	1994	14
993	1996	12
994	1998	10
995	2000	8
996	2002	6
997	2004	4
998	2006	2
999	2008	0
